Name,PROMPT,FUNNEL LOCATION,EXAMPLE
1. Origin Story,Tell me about the origin story of [company]. What was the lightbulb moment for you?,TOFU,https://www.linkedin.com/posts/shreyaskumar92_in-2020-i-was-gearing-up-to-leave-my-previous-activity-7171549758946304001-xA70?utm_source=share&utm_medium=member_desktop
2. Company-building hot take,"What’s one company-building belief you have that others disagree with you on?
Examples:",TOFU,https://www.linkedin.com/posts/jnpayne_startup-hot-take-everyone-says-start-a-business-activity-7184558702287319040-GaP3?utm_source=share&utm_medium=member_desktop
3. Industry hot take V1,What's one [category] belief you have that others disagree with you on?,MOFU,https://www.linkedin.com/posts/jnpayne_startup-hot-take-everyone-says-start-a-business-activity-7184558702287319040-GaP3?utm_source=share&utm_medium=member_desktop
4. Hiring Philosophy Post,How do you think about hiring at [company]? How are some recent hires?,TOFU,https://www.linkedin.com/posts/austin-t-hughes_one-of-the-most-rewarding-parts-of-building-activity-7191097470905454592-yp7-/?utm_source=share&utm_medium=member_desktop
5. Company Update (Monthly),What were the top 3 wins from the past month? Top 3 learnings? What’s next for [company] in [next month]? Any growth metrics stand out that we can cite in the hook?,BOFU,https://www.linkedin.com/posts/austin-t-hughes_unify-grew-arr-by-80-mm-in-january-and-activity-7172996098985222144-W4x3?utm_source=share&utm_medium=member_desktop
6. Culture Building & Core Values,How do you think about building culture at [company]? What are the core values of your culture? What are the most overrated and underrated aspects of 'building culture' in startups?,TOFU,https://www.linkedin.com/posts/austin-t-hughes_things-they-dont-tell-you-about-building-activity-7216102409398276096-D1u2?utm_source=share&utm_medium=member_desktop
7. Customer/Prospect call anecdote + hot take,"Tell me about a recent conversation you've had with a customer or prospect that stood out to you. It could be something surprising that they said, an objection they had, etc.",MOFU,https://www.linkedin.com/posts/tclarkmedia_i-was-on-a-call-last-week-with-a-b2b-founder-activity-7214975894031859712-hhyQ?utm_source=share&utm_medium=member_desktop
8. Industry hot take V2,What's another hot take or polarizing opinion you have on [category]? Where do you think everyone else is wrong? Why? Data or specific anecdotes to back this up would be amazing.,MOFU,https://www.linkedin.com/posts/retentionadam_sales-killed-sales-dont-take-my-word-for-activity-7215455440564805633-5am3?utm_source=share&utm_medium=member_desktop
9. Overcoming adversity narrative post,What has been the biggest 'oh shit' moment in growing [company] so far? How did you overcome it? How has it influenced the way you continue to grow [company] going forward?,TOFU,https://www.linkedin.com/posts/jnpayne_it-takes-courage-to-live-out-your-full-potential-activity-7194711923714637824-b5S0/?utm_source=share&utm_medium=member_desktop
10. Feature curation,"Can you get us a list of every feature you've shipped in the past X months? Of these, which are most compelling to your ICP? We ideally want 10-15+ to include here. The goal is to show shipping velocity.",BOFU,https://www.linkedin.com/posts/austin-t-hughes_we-shipped-20-new-product-features-last-quarter-activity-7211038507199266816-2zj0?utm_source=share&utm_medium=member_desktop
11. TOFU resources curation (book),"What’s one book that impacted the way you view company-building? If you're not a huge book reader, could be a podcast, newsletter, video lecture, etc. The goal here is to 'borrow credibility' from a notable name to stop the scroll. For example, lessons from a Steve Jobs biography you read. Also great if we can tie the lessons from the book into a real lesson of how you used them to scale your company.",TOFU,https://www.linkedin.com/posts/jnpayne_3-book-recommendations-that-ive-read-recently-activity-7208896404457488385-LiUX?utm_source=share&utm_medium=member_desktop
12. [Category topic] Checklist,Run me through a detailed checklist of how to [category-related task]. What are the specific steps required to achieve [desired outcome]?,MOFU,https://www.linkedin.com/posts/janssenryan_data-activity-7156393578598973440-sdsz?utm_source=share&utm_medium=member_desktop
13. ICP pain points listicle,What are the top 3-5 problems or pain points your ICP runs into when trying to [achieve the desired outcome]? Why do these problems exist?,MOFU,https://www.linkedin.com/posts/tclarkmedia_ive-helped-30-saas-founders-launch-their-activity-7207013721905254400-Qmwx?utm_source=share&utm_medium=member_desktop
14. Value-based listicle,What are 3-5 things you wish you knew before you got into [category]?,MOFU,https://www.linkedin.com/posts/tclarkmedia_hey-foundersif-youre-trying-to-launch-a-activity-7208460466682040322-sxKU?utm_source=share&utm_medium=member_desktop
15. Case Study,We'll pull a case study from the client's site and format into a LinkedIn post that feels social-native.,BOFU,https://www.linkedin.com/posts/alexjsong_im-stoked-to-announce-our-newest-case-study-activity-7212477298199904256-OoPC?utm_source=share&utm_medium=member_desktop
